"","X","siteswithbooms","probdet","samplenum","duration"
"Sampled_3_Intervals.TempSunMoonBoomDetections.18min.int.csv.csv",1,10,0.434782608695652,3,1080
"Sampled_3_Intervals.TempSunMoonBoomDetections.19min.int.csv.csv",1,8,0.347826086956522,3,1140
"Sampled_3_Intervals.TempSunMoonBoomDetections.1hour.int.csv.csv",1,14,0.608695652173913,3,3600
"Sampled_3_Intervals.TempSunMoonBoomDetections.1min.int.csv.csv",1,2,0.0869565217391304,3,60
"Sampled_3_Intervals.TempSunMoonBoomDetections.20min.int.csv.csv",1,8,0.347826086956522,3,1200
"Sampled_3_Intervals.TempSunMoonBoomDetections.2min.int.csv.csv",1,6,0.260869565217391,3,120
"Sampled_3_Intervals.TempSunMoonBoomDetections.3min.int.csv.csv",1,3,0.130434782608696,3,180
"Sampled_3_Intervals.TempSunMoonBoomDetections.4min.int.csv.csv",1,6,0.260869565217391,3,240
"Sampled_3_Intervals.TempSunMoonBoomDetections.5min.int.csv.csv",1,4,0.173913043478261,3,300
"Sampled_3_Intervals.TempSunMoonBoomDetections.6min.int.csv.csv",1,8,0.347826086956522,3,360
"Sampled_3_Intervals.TempSunMoonBoomDetections.7min.int.csv.csv",1,7,0.304347826086957,3,420
"Sampled_3_Intervals.TempSunMoonBoomDetections.8min.int.csv.csv",1,5,0.217391304347826,3,480
"Sampled_3_Intervals.TempSunMoonBoomDetections.9min.int.csv.csv",1,7,0.304347826086957,3,540
"Sampled_32_Intervals.TempSunMoonBoomDetections.10min.int.csv.csv",1,17,0.739130434782609,32,600
"Sampled_32_Intervals.TempSunMoonBoomDetections.11min.int.csv.csv",1,16,0.695652173913043,32,660
"Sampled_32_Intervals.TempSunMoonBoomDetections.12min.int.csv.csv",1,14,0.608695652173913,32,720
"Sampled_32_Intervals.TempSunMoonBoomDetections.13min.int.csv.csv",1,16,0.695652173913043,32,780
"Sampled_32_Intervals.TempSunMoonBoomDetections.14min.int.csv.csv",1,14,0.608695652173913,32,840
"Sampled_32_Intervals.TempSunMoonBoomDetections.15min.int.csv.csv",1,16,0.695652173913043,32,900
"Sampled_32_Intervals.TempSunMoonBoomDetections.16min.int.csv.csv",1,15,0.652173913043478,32,960
"Sampled_32_Intervals.TempSunMoonBoomDetections.17min.int.csv.csv",1,15,0.652173913043478,32,1020
"Sampled_32_Intervals.TempSunMoonBoomDetections.18min.int.csv.csv",1,17,0.739130434782609,32,1080
"Sampled_32_Intervals.TempSunMoonBoomDetections.19min.int.csv.csv",1,17,0.739130434782609,32,1140
"Sampled_32_Intervals.TempSunMoonBoomDetections.1hour.int.csv.csv",1,17,0.739130434782609,32,3600
"Sampled_32_Intervals.TempSunMoonBoomDetections.1min.int.csv.csv",1,14,0.608695652173913,32,60
