"","sm_id","intervalsP","numdetect"
"205",7524,"2014-06-18 01:09:00 CDT--2014-06-18 01:19:00 CDT",0
"206",7524,"2014-06-18 01:19:00 CDT--2014-06-18 01:29:00 CDT",0
"207",7524,"2014-06-18 01:29:00 CDT--2014-06-18 01:39:00 CDT",0
"208",7524,"2014-06-18 01:39:00 CDT--2014-06-18 01:49:00 CDT",0
"209",7524,"2014-06-18 01:49:00 CDT--2014-06-18 01:59:00 CDT",0
"210",7524,"2014-06-18 01:59:00 CDT--2014-06-18 02:09:00 CDT",0
"211",7524,"2014-06-18 02:09:00 CDT--2014-06-18 02:19:00 CDT",0
"212",7524,"2014-06-18 02:19:00 CDT--2014-06-18 02:29:00 CDT",0
"213",7524,"2014-06-18 02:29:00 CDT--2014-06-18 02:39:00 CDT",0
"214",7524,"2014-06-18 02:39:00 CDT--2014-06-18 02:49:00 CDT",0
"215",7524,"2014-06-18 02:49:00 CDT--2014-06-18 02:59:00 CDT",0
"216",7524,"2014-06-18 02:59:00 CDT--2014-06-18 03:09:00 CDT",0
"217",7524,"2014-06-18 03:09:00 CDT--2014-06-18 03:19:00 CDT",0
"218",7524,"2014-06-18 03:19:00 CDT--2014-06-18 03:29:00 CDT",0
"219",7524,"2014-06-18 03:29:00 CDT--2014-06-18 03:39:00 CDT",0
"220",7524,"2014-06-18 03:39:00 CDT--2014-06-18 03:49:00 CDT",0
"221",7524,"2014-06-18 03:49:00 CDT--2014-06-18 03:59:00 CDT",0
"222",7524,"2014-06-18 03:59:00 CDT--2014-06-18 04:09:00 CDT",0
"223",7524,"2014-06-18 04:09:00 CDT--2014-06-18 04:19:00 CDT",0
"224",7524,"2014-06-18 04:19:00 CDT--2014-06-18 04:29:00 CDT",0
"225",7524,"2014-06-18 04:29:00 CDT--2014-06-18 04:39:00 CDT",0
"226",7524,"2014-06-18 04:39:00 CDT--2014-06-18 04:49:00 CDT",0
"227",7524,"2014-06-18 04:49:00 CDT--2014-06-18 04:59:00 CDT",0
"228",7524,"2014-06-18 04:59:00 CDT--2014-06-18 05:09:00 CDT",0
"229",7524,"2014-06-18 05:09:00 CDT--2014-06-18 05:19:00 CDT",0
"230",7524,"2014-06-18 05:19:00 CDT--2014-06-18 05:29:00 CDT",0
"231",7524,"2014-06-18 05:29:00 CDT--2014-06-18 05:39:00 CDT",0
"232",7524,"2014-06-18 05:39:00 CDT--2014-06-18 05:49:00 CDT",0
"233",7524,"2014-06-21 22:20:00 CDT--2014-06-21 22:30:00 CDT",0
"234",7524,"2014-06-21 22:30:00 CDT--2014-06-21 22:40:00 CDT",0
"235",7524,"2014-06-21 22:40:00 CDT--2014-06-21 22:50:00 CDT",0
"236",7524,"2014-06-21 22:50:00 CDT--2014-06-21 23:00:00 CDT",0
"237",7524,"2014-06-21 23:00:00 CDT--2014-06-21 23:10:00 CDT",0
"238",7524,"2014-06-21 23:10:00 CDT--2014-06-21 23:20:00 CDT",0
"239",7524,"2014-06-21 23:20:00 CDT--2014-06-21 23:30:00 CDT",0
"240",7524,"2014-06-21 23:30:00 CDT--2014-06-21 23:40:00 CDT",0
"241",7524,"2014-06-21 23:40:00 CDT--2014-06-21 23:50:00 CDT",0
"242",7524,"2014-06-21 23:50:00 CDT--2014-06-22 00:00:00 CDT",0
"243",7524,"2014-06-22 00:00:00 CDT--2014-06-22 00:10:00 CDT",0
"244",7524,"2014-06-22 00:10:00 CDT--2014-06-22 00:20:00 CDT",0
"245",7524,"2014-06-22 00:20:00 CDT--2014-06-22 00:30:00 CDT",0
"246",7524,"2014-06-22 00:30:00 CDT--2014-06-22 00:40:00 CDT",0
"247",7524,"2014-06-22 00:40:00 CDT--2014-06-22 00:50:00 CDT",0
"248",7524,"2014-06-22 00:50:00 CDT--2014-06-22 01:00:00 CDT",0
"249",7524,"2014-06-22 01:00:00 CDT--2014-06-22 01:10:00 CDT",0
"250",7524,"2014-06-22 01:10:00 CDT--2014-06-22 01:20:00 CDT",0
"251",7524,"2014-06-22 01:20:00 CDT--2014-06-22 01:30:00 CDT",0
"252",7524,"2014-06-22 01:30:00 CDT--2014-06-22 01:40:00 CDT",0
"253",7524,"2014-06-22 01:40:00 CDT--2014-06-22 01:50:00 CDT",0
"254",7524,"2014-06-22 01:50:00 CDT--2014-06-22 02:00:00 CDT",0
"255",7524,"2014-06-22 02:00:00 CDT--2014-06-22 02:10:00 CDT",0
"256",7524,"2014-06-22 02:10:00 CDT--2014-06-22 02:20:00 CDT",0
"257",7524,"2014-06-22 02:20:00 CDT--2014-06-22 02:30:00 CDT",0
"258",7524,"2014-06-22 02:30:00 CDT--2014-06-22 02:40:00 CDT",0
"259",7524,"2014-06-22 02:40:00 CDT--2014-06-22 02:50:00 CDT",0
"260",7524,"2014-06-22 02:50:00 CDT--2014-06-22 03:00:00 CDT",0
"261",7524,"2014-06-22 03:00:00 CDT--2014-06-22 03:10:00 CDT",0
"262",7524,"2014-06-22 03:10:00 CDT--2014-06-22 03:20:00 CDT",0
"263",7524,"2014-06-22 03:20:00 CDT--2014-06-22 03:30:00 CDT",0
"264",7524,"2014-06-22 03:30:00 CDT--2014-06-22 03:40:00 CDT",0
"265",7524,"2014-06-22 03:40:00 CDT--2014-06-22 03:50:00 CDT",0
"266",7524,"2014-06-22 03:50:00 CDT--2014-06-22 04:00:00 CDT",0
"267",7524,"2014-06-22 04:00:00 CDT--2014-06-22 04:10:00 CDT",0
"268",7524,"2014-06-22 04:10:00 CDT--2014-06-22 04:20:00 CDT",0
"269",7524,"2014-06-22 04:20:00 CDT--2014-06-22 04:30:00 CDT",0
"270",7524,"2014-06-22 04:30:00 CDT--2014-06-22 04:40:00 CDT",0
"271",7524,"2014-06-22 04:40:00 CDT--2014-06-22 04:50:00 CDT",0
"272",7524,"2014-06-22 04:50:00 CDT--2014-06-22 05:00:00 CDT",0
"273",7524,"2014-06-22 05:00:00 CDT--2014-06-22 05:10:00 CDT",0
"274",7524,"2014-06-22 05:10:00 CDT--2014-06-22 05:20:00 CDT",0
"275",7524,"2014-06-22 05:20:00 CDT--2014-06-22 05:30:00 CDT",0
"276",7524,"2014-06-22 05:30:00 CDT--2014-06-22 05:40:00 CDT",0
"277",7524,"2014-06-22 05:40:00 CDT--2014-06-22 05:50:00 CDT",0
"278",7524,"2014-06-25 22:19:00 CDT--2014-06-25 22:29:00 CDT",0
"279",7524,"2014-06-25 22:29:00 CDT--2014-06-25 22:39:00 CDT",0
"280",7524,"2014-06-25 22:39:00 CDT--2014-06-25 22:49:00 CDT",0
"281",7524,"2014-06-25 22:49:00 CDT--2014-06-25 22:59:00 CDT",0
"282",7524,"2014-06-25 22:59:00 CDT--2014-06-25 23:09:00 CDT",0
"283",7524,"2014-06-25 23:09:00 CDT--2014-06-25 23:19:00 CDT",0
"284",7524,"2014-06-25 23:19:00 CDT--2014-06-25 23:29:00 CDT",0
"285",7524,"2014-06-25 23:29:00 CDT--2014-06-25 23:39:00 CDT",0
"286",7524,"2014-06-25 23:39:00 CDT--2014-06-25 23:49:00 CDT",0
"287",7524,"2014-06-25 23:49:00 CDT--2014-06-25 23:59:00 CDT",0
"288",7524,"2014-06-25 23:59:00 CDT--2014-06-26 00:09:00 CDT",0
"289",7524,"2014-06-26 00:09:00 CDT--2014-06-26 00:19:00 CDT",0
"290",7524,"2014-06-26 00:19:00 CDT--2014-06-26 00:29:00 CDT",0
"291",7524,"2014-06-26 00:29:00 CDT--2014-06-26 00:39:00 CDT",0
"292",7524,"2014-06-26 00:39:00 CDT--2014-06-26 00:49:00 CDT",0
"293",7524,"2014-06-26 00:49:00 CDT--2014-06-26 00:59:00 CDT",0
"294",7524,"2014-06-26 00:59:00 CDT--2014-06-26 01:09:00 CDT",0
"295",7524,"2014-06-26 01:09:00 CDT--2014-06-26 01:19:00 CDT",0
"296",7524,"2014-06-26 01:19:00 CDT--2014-06-26 01:29:00 CDT",0
"297",7524,"2014-06-26 01:29:00 CDT--2014-06-26 01:39:00 CDT",0
"298",7524,"2014-06-26 01:39:00 CDT--2014-06-26 01:49:00 CDT",0
"299",7524,"2014-06-26 01:49:00 CDT--2014-06-26 01:59:00 CDT",0
"300",7524,"2014-06-26 01:59:00 CDT--2014-06-26 02:09:00 CDT",0
"301",7524,"2014-06-26 02:09:00 CDT--2014-06-26 02:19:00 CDT",0
"302",7524,"2014-06-26 02:19:00 CDT--2014-06-26 02:29:00 CDT",0
"303",7524,"2014-06-26 02:29:00 CDT--2014-06-26 02:39:00 CDT",0
"304",7524,"2014-06-26 02:39:00 CDT--2014-06-26 02:49:00 CDT",0
"305",7524,"2014-06-26 02:49:00 CDT--2014-06-26 02:59:00 CDT",0
"306",7524,"2014-06-26 02:59:00 CDT--2014-06-26 03:09:00 CDT",0
"307",7524,"2014-06-26 03:09:00 CDT--2014-06-26 03:19:00 CDT",0
"308",7524,"2014-06-26 03:19:00 CDT--2014-06-26 03:29:00 CDT",0
"309",7524,"2014-06-26 03:29:00 CDT--2014-06-26 03:39:00 CDT",0
"310",7524,"2014-06-26 03:39:00 CDT--2014-06-26 03:49:00 CDT",0
"311",7524,"2014-06-26 03:49:00 CDT--2014-06-26 03:59:00 CDT",0
"312",7524,"2014-06-26 03:59:00 CDT--2014-06-26 04:09:00 CDT",0
"313",7524,"2014-06-26 04:09:00 CDT--2014-06-26 04:19:00 CDT",0
"314",7524,"2014-06-26 04:19:00 CDT--2014-06-26 04:29:00 CDT",0
"315",7524,"2014-06-26 04:29:00 CDT--2014-06-26 04:39:00 CDT",0
"316",7524,"2014-06-26 04:39:00 CDT--2014-06-26 04:49:00 CDT",0
"317",7524,"2014-06-26 04:49:00 CDT--2014-06-26 04:59:00 CDT",0
"318",7524,"2014-06-26 04:59:00 CDT--2014-06-26 05:09:00 CDT",0
"319",7524,"2014-06-26 05:09:00 CDT--2014-06-26 05:19:00 CDT",0
"320",7524,"2014-06-26 05:19:00 CDT--2014-06-26 05:29:00 CDT",0
"321",7524,"2014-06-26 05:29:00 CDT--2014-06-26 05:39:00 CDT",0
"322",7524,"2014-06-26 05:39:00 CDT--2014-06-26 05:49:00 CDT",0
"323",7524,"2014-06-26 05:49:00 CDT--2014-06-26 05:59:00 CDT",0
