"","sm_id","location","year","month","day","PreSS","ms0","SS","c1","n1","a1","nightcalc","a2","n2","c2","endCivil2SRstart","ms8","EndSRdaystart","SStoSRend","date","startime","starttime.posix","endtime.posix","fullrec.interval","fullrec.duration","fullrec.seconds","sample_id","duration_new","start_time_new","end_time_new","segment_id"
"46",13585,"Behchoko",2014,"06","25","22:51:00",3600,"23:51:00",7050,0,0,0,0,0,7050,"3:46:00",600,"3:56:00",14700,2014-06-25,"2014-06-25 22:51:00",2014-06-25 22:51:00,2014-06-26 04:56:00,2014-06-25 22:51:00 CDT--2014-06-26 04:56:00 CDT,21900s (~6.08 hours),21900,"13585 2014-06-25",3600,2014-06-26 01:51:00,2014-06-26 02:51:00,4
"47",13585,"Behchoko",2014,"06","25","22:51:00",3600,"23:51:00",7050,0,0,0,0,0,7050,"3:46:00",600,"3:56:00",14700,2014-06-25,"2014-06-25 22:51:00",2014-06-25 22:51:00,2014-06-26 04:56:00,2014-06-25 22:51:00 CDT--2014-06-26 04:56:00 CDT,21900s (~6.08 hours),21900,"13585 2014-06-25",3600,2014-06-26 02:51:00,2014-06-26 03:51:00,5
"48",13585,"Behchoko",2014,"06","25","22:51:00",3600,"23:51:00",7050,0,0,0,0,0,7050,"3:46:00",600,"3:56:00",14700,2014-06-25,"2014-06-25 22:51:00",2014-06-25 22:51:00,2014-06-26 04:56:00,2014-06-25 22:51:00 CDT--2014-06-26 04:56:00 CDT,21900s (~6.08 hours),21900,"13585 2014-06-25",3600,2014-06-26 03:51:00,2014-06-26 04:51:00,6
"49",13585,"Behchoko",2014,"06","25","22:51:00",3600,"23:51:00",7050,0,0,0,0,0,7050,"3:46:00",600,"3:56:00",14700,2014-06-25,"2014-06-25 22:51:00",2014-06-25 22:51:00,2014-06-26 04:56:00,2014-06-25 22:51:00 CDT--2014-06-26 04:56:00 CDT,21900s (~6.08 hours),21900,"13585 2014-06-25",300,2014-06-26 04:51:00,2014-06-26 04:56:00,7
"50",13585,"Behchoko",2014,"06","29","22:49:00",3600,"23:49:00",7230,0,0,0,0,0,7230,"3:50:00",600,"4:00:00",15060,2014-06-29,"2014-06-29 22:49:00",2014-06-29 22:49:00,2014-06-30 05:00:00,2014-06-29 22:49:00 CDT--2014-06-30 05:00:00 CDT,22260s (~6.18 hours),22260,"13585 2014-06-29",3600,2014-06-29 22:49:00,2014-06-29 23:49:00,1
"51",13585,"Behchoko",2014,"06","29","22:49:00",3600,"23:49:00",7230,0,0,0,0,0,7230,"3:50:00",600,"4:00:00",15060,2014-06-29,"2014-06-29 22:49:00",2014-06-29 22:49:00,2014-06-30 05:00:00,2014-06-29 22:49:00 CDT--2014-06-30 05:00:00 CDT,22260s (~6.18 hours),22260,"13585 2014-06-29",3600,2014-06-29 23:49:00,2014-06-30 00:49:00,2
"52",13585,"Behchoko",2014,"06","29","22:49:00",3600,"23:49:00",7230,0,0,0,0,0,7230,"3:50:00",600,"4:00:00",15060,2014-06-29,"2014-06-29 22:49:00",2014-06-29 22:49:00,2014-06-30 05:00:00,2014-06-29 22:49:00 CDT--2014-06-30 05:00:00 CDT,22260s (~6.18 hours),22260,"13585 2014-06-29",3600,2014-06-30 00:49:00,2014-06-30 01:49:00,3
"53",13585,"Behchoko",2014,"06","29","22:49:00",3600,"23:49:00",7230,0,0,0,0,0,7230,"3:50:00",600,"4:00:00",15060,2014-06-29,"2014-06-29 22:49:00",2014-06-29 22:49:00,2014-06-30 05:00:00,2014-06-29 22:49:00 CDT--2014-06-30 05:00:00 CDT,22260s (~6.18 hours),22260,"13585 2014-06-29",3600,2014-06-30 01:49:00,2014-06-30 02:49:00,4
"54",13585,"Behchoko",2014,"06","29","22:49:00",3600,"23:49:00",7230,0,0,0,0,0,7230,"3:50:00",600,"4:00:00",15060,2014-06-29,"2014-06-29 22:49:00",2014-06-29 22:49:00,2014-06-30 05:00:00,2014-06-29 22:49:00 CDT--2014-06-30 05:00:00 CDT,22260s (~6.18 hours),22260,"13585 2014-06-29",3600,2014-06-30 02:49:00,2014-06-30 03:49:00,5
"55",13585,"Behchoko",2014,"06","29","22:49:00",3600,"23:49:00",7230,0,0,0,0,0,7230,"3:50:00",600,"4:00:00",15060,2014-06-29,"2014-06-29 22:49:00",2014-06-29 22:49:00,2014-06-30 05:00:00,2014-06-29 22:49:00 CDT--2014-06-30 05:00:00 CDT,22260s (~6.18 hours),22260,"13585 2014-06-29",3600,2014-06-30 03:49:00,2014-06-30 04:49:00,6
"56",13585,"Behchoko",2014,"06","29","22:49:00",3600,"23:49:00",7230,0,0,0,0,0,7230,"3:50:00",600,"4:00:00",15060,2014-06-29,"2014-06-29 22:49:00",2014-06-29 22:49:00,2014-06-30 05:00:00,2014-06-29 22:49:00 CDT--2014-06-30 05:00:00 CDT,22260s (~6.18 hours),22260,"13585 2014-06-29",660,2014-06-30 04:49:00,2014-06-30 05:00:00,7
"57",13585,"Behchoko",2014,"07","03","22:44:00",3600,"23:44:00",7560,0,0,0,0,0,7560,"3:56:00",540,"4:05:00",15660,2014-07-03,"2014-07-03 22:44:00",2014-07-03 22:44:00,2014-07-04 05:05:00,2014-07-03 22:44:00 CDT--2014-07-04 05:05:00 CDT,22860s (~6.35 hours),22860,"13585 2014-07-03",3600,2014-07-03 22:44:00,2014-07-03 23:44:00,1
"58",13585,"Behchoko",2014,"07","03","22:44:00",3600,"23:44:00",7560,0,0,0,0,0,7560,"3:56:00",540,"4:05:00",15660,2014-07-03,"2014-07-03 22:44:00",2014-07-03 22:44:00,2014-07-04 05:05:00,2014-07-03 22:44:00 CDT--2014-07-04 05:05:00 CDT,22860s (~6.35 hours),22860,"13585 2014-07-03",3600,2014-07-03 23:44:00,2014-07-04 00:44:00,2
"59",13585,"Behchoko",2014,"07","03","22:44:00",3600,"23:44:00",7560,0,0,0,0,0,7560,"3:56:00",540,"4:05:00",15660,2014-07-03,"2014-07-03 22:44:00",2014-07-03 22:44:00,2014-07-04 05:05:00,2014-07-03 22:44:00 CDT--2014-07-04 05:05:00 CDT,22860s (~6.35 hours),22860,"13585 2014-07-03",3600,2014-07-04 00:44:00,2014-07-04 01:44:00,3
"60",13585,"Behchoko",2014,"07","03","22:44:00",3600,"23:44:00",7560,0,0,0,0,0,7560,"3:56:00",540,"4:05:00",15660,2014-07-03,"2014-07-03 22:44:00",2014-07-03 22:44:00,2014-07-04 05:05:00,2014-07-03 22:44:00 CDT--2014-07-04 05:05:00 CDT,22860s (~6.35 hours),22860,"13585 2014-07-03",3600,2014-07-04 01:44:00,2014-07-04 02:44:00,4
"61",13585,"Behchoko",2014,"07","03","22:44:00",3600,"23:44:00",7560,0,0,0,0,0,7560,"3:56:00",540,"4:05:00",15660,2014-07-03,"2014-07-03 22:44:00",2014-07-03 22:44:00,2014-07-04 05:05:00,2014-07-03 22:44:00 CDT--2014-07-04 05:05:00 CDT,22860s (~6.35 hours),22860,"13585 2014-07-03",3600,2014-07-04 02:44:00,2014-07-04 03:44:00,5
